Jahr;Migrationsstatus;Geschlecht;Beruflicher Bildungsabschluss;Anzahl;Anzahl_Einheit;Bevölkerung   ;value_q
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;938;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche mit eigener Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;69;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Bachelor;30;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;1840;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;2133;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;374;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;167;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Mit Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;2885;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;320;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;Diplom;1470;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;Fachschulabschluss;362;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;männlich;Insgesamt;1975;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;männlich;Lehre / Berufsausbildung;11628;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;1836;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;männlich;Lehre / Berufsausbildung;783;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Lehre / Berufsausbildung;1053;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;Insgesamt;Diplom;266;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;männlich;Diplom;4580;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;weiblich;Nicht in schulischer oder beruflicher Ausbildung;3390;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;männlich;Mit beruflichem Bildungsabschluss;26307;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;6155;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1665;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;927;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;Insgesamt;Bachelor;968;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Lehre / Berufsausbildung;146;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;Insgesamt;Akademische Abschlüsse;1641;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;3103;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;männlich;Diplom;160;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer mit eigener Migrationserfahrung;männlich;Fachschulabschluss;248;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Mit Migrationshintergrund;männlich;Mit beruflichem Bildungsabschluss;4559;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ohne Migrationshintergrund;weiblich;Akademische Abschlüsse;4758;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Fachschulabschluss;207;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;Akademische Abschlüsse;2086;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer mit eigener Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;3584;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;männlich;Diplom;280;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Spätaussiedler;männlich;Promotion;12;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;614;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;Insgesamt;Akademische Abschlüsse;387;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;246;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;weiblich;Diplom;3982;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Ohne beruflichen Bildungsabschluss;2518;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;männlich;Master;173;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;weiblich;Ohne beruflichen Bildungsabschluss;9989;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Master;117;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;männlich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2020;Insgesamt;männlich;Fachschulabschluss;3347;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;weiblich;Akademische Abschlüsse;562;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;weiblich;Nicht in schulischer oder beruflicher Ausbildung;3485;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;weiblich;Fachschulabschluss;183;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2021;Deutsche mit eigener Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;1745;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;weiblich;Master;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2023;Insgesamt;männlich;Ohne beruflichen Bildungsabschluss;9191;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;Insgesamt;Bachelor;77;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Insgesamt;Insgesamt;In schulischer oder beruflicher Ausbildung;5672;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1671;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;Insgesamt;Akademische Abschlüsse;3793;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;weiblich;Master;337;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;2432;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Nicht in schulischer oder beruflicher Ausbildung;2161;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche ohne eigene Migrationserfahrung;männlich;Promotion;25;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Bachelor;32;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;weiblich;Nicht in schulischer oder beruflicher Ausbildung;3497;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Lehre / Berufsausbildung;555;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Bachelor;93;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;weiblich;Ohne beruflichen Bildungsabschluss;451;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;weiblich;Diplom;19;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;()
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;1676;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;männlich;Nicht in schulischer oder beruflicher Ausbildung;5317;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;männlich;Bachelor;601;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Deutsche ohne eigene Migrationserfahrung;weiblich;Master;61;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;männlich;Insgesamt;25898;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;männlich;Promotion;133;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;männlich;Bachelor;542;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;187;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Insgesamt;4432;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer ohne eigene Migrationserfahrung;weiblich;Akademische Abschlüsse;36;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;Insgesamt;In schulischer oder beruflicher Ausbildung;3859;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Bachelor;81;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;weiblich;Akademische Abschlüsse;214;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;782;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Deutsche mit eigener Migrationserfahrung;männlich;Bachelor;68;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche ohne eigene Migrationserfahrung;männlich;Insgesamt;1888;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;männlich;Akademische Abschlüsse;319;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;männlich;Fachschulabschluss;2833;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;178;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;In schulischer oder beruflicher Ausbildung;21;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;In schulischer oder beruflicher Ausbildung;2001;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;männlich;Master;652;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;weiblich;Ohne beruflichen Bildungsabschluss;6019;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2020;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;292;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;männlich;Mit beruflichem Bildungsabschluss;909;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;männlich;Master;21;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Mit beruflichem Bildungsabschluss;275;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;weiblich;Diplom;304;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;Lehre / Berufsausbildung;1825;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;5272;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;3723;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;weiblich;Akademische Abschlüsse;312;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Mit beruflichem Bildungsabschluss;542;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;männlich;In schulischer oder beruflicher Ausbildung;303;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;Insgesamt;Bachelor;78;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;876;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer mit eigener Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;1848;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;weiblich;Lehre / Berufsausbildung;13666;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;weiblich;Master;76;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;Insgesamt;Promotion;226;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;Insgesamt;In schulischer oder beruflicher Ausbildung;5753;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;768;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;776;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;Insgesamt;In schulischer oder beruflicher Ausbildung;2252;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;männlich;Fachschulabschluss;151;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;männlich;Lehre / Berufsausbildung;595;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;weiblich;Lehre / Berufsausbildung;2213;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer ohne eigene Migrationserfahrung;männlich;Fachschulabschluss;35;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;männlich;Bachelor;115;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Ausländer mit eigener Migrationserfahrung;männlich;Promotion;62;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Ausländer ohne eigene Migrationserfahrung;männlich;Master;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2023;Deutsche mit eigener Migrationserfahrung;Insgesamt;Master;152;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Master;275;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Spätaussiedler;weiblich;Lehre / Berufsausbildung;572;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;männlich;Bachelor;21;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;weiblich;Bachelor;1455;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer mit eigener Migrationserfahrung;männlich;Ohne beruflichen Bildungsabschluss;2224;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche mit eigener Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;773;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;weiblich;Master;723;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;weiblich;Lehre / Berufsausbildung;514;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;125;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;Insgesamt;Master;132;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;männlich;Promotion;745;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Ausländer mit eigener Migrationserfahrung;Insgesamt;Ohne beruflichen Bildungsabschluss;4834;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Mit Migrationshintergrund;männlich;Insgesamt;8877;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Bachelor;32;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;weiblich;Lehre / Berufsausbildung;2419;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ausländer ohne eigene Migrationserfahrung;weiblich;Ohne beruflichen Bildungsabschluss;185;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Spätaussiedler;Insgesamt;Diplom;246;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;männlich;Fachschulabschluss;568;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Deutsche ohne eigene Migrationserfahrung;männlich;Bachelor;96;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Spätaussiedler;männlich;Diplom;117;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Mit Migrationshintergrund;weiblich;Akademische Abschlüsse;1635;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Promotion;/;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;
2021;Mit Migrationshintergrund;weiblich;Ohne beruflichen Bildungsabschluss;4057;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;männlich;Promotion;44;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Mit Migrationshintergrund;männlich;Bachelor;466;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;694;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Spätaussiedler;weiblich;Master;20;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Spätaussiedler;weiblich;Nicht in schulischer oder beruflicher Ausbildung;433;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;männlich;Promotion;142;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2024;Mit Migrationshintergrund;weiblich;Master;444;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Mit Migrationshintergrund;männlich;Diplom;740;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;Insgesamt;Nicht in schulischer oder beruflicher Ausbildung;13828;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Deutsche mit eigener Migrationserfahrung;Insgesamt;Lehre / Berufsausbildung;1863;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer mit eigener Migrationserfahrung;weiblich;Diplom;403;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;Insgesamt;Akademische Abschlüsse;622;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer mit eigener Migrationserfahrung;weiblich;Insgesamt;4579;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Ausländer mit eigener Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;2279;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;weiblich;In schulischer oder beruflicher Ausbildung;1115;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2023;Mit Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;9314;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Deutsche mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;939;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Diplom;162;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;männlich;Promotion;592;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ausländer ohne eigene Migrationserfahrung;Insgesamt;Fachschulabschluss;83;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Mit Migrationshintergrund;männlich;In schulischer oder beruflicher Ausbildung;1131;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;männlich;Promotion;42;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;männlich;Ohne beruflichen Bildungsabschluss;4448;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ausländer ohne eigene Migrationserfahrung;Insgesamt;In schulischer oder beruflicher Ausbildung;102;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Spätaussiedler;weiblich;Nicht in schulischer oder beruflicher Ausbildung;448;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche mit eigener Migrationserfahrung;weiblich;Lehre / Berufsausbildung;943;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Ohne Migrationshintergrund;weiblich;Master;453;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;männlich;Akademische Abschlüsse;171;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Ohne Migrationshintergrund;weiblich;Diplom;3082;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche mit eigener Migrationserfahrung;weiblich;Master;55;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Ohne Migrationshintergrund;männlich;Nicht in schulischer oder beruflicher Ausbildung;2717;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2021;Mit Migrationshintergrund;Insgesamt;Promotion;214;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Mit Migrationshintergrund;Insgesamt;Lehre / Berufsausbildung;4711;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Spätaussiedler;weiblich;Fachschulabschluss;159;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2023;Insgesamt;Insgesamt;Lehre / Berufsausbildung;28888;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Mit Migrationshintergrund;Insgesamt;Ohne beruflichen Bildungsabschluss;9459;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2022;Ohne Migrationshintergrund;weiblich;Master;551;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2022;Deutsche ohne eigene Migrationserfahrung;männlich;Nicht in schulischer oder beruflicher Ausbildung;310;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Deutsche ohne eigene Migrationserfahrung;weiblich;Mit beruflichem Bildungsabschluss;1023;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2020;Insgesamt;Insgesamt;Master;1493;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
2024;Ohne Migrationshintergrund;männlich;Mit beruflichem Bildungsabschluss;20620;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;p
2021;Ausländer mit eigener Migrationserfahrung;männlich;Insgesamt;3918;1000;Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten;e
